Type,Brand,Model,Benchmark,Size,Model_Type,URL
SSD,Samsung,980 NVMe PCIe M.2 250GB,196.0,250GB,M.2,https://ssd.userbenchmark.com/SpeedTest/1501500/Samsung-SSD-980-250GB
SSD,Samsung,PM961 NVMe PCIe M.2 512GB,196.0,512GB,M.2,https://ssd.userbenchmark.com/SpeedTest/181300/NVMe-SAMSUNG-MZVLW512
SSD,Plextor,M8Pe NVMe PCIe M.2 1TB,193.0,1TB,M.2,https://ssd.userbenchmark.com/SpeedTest/175630/PLEXTOR-PX-1TM8PeG
SSD,Adata,XPG SX6000 Pro NVMe PCIe M.2 512GB,193.0,512GB,M.2,https://ssd.userbenchmark.com/SpeedTest/594216/ADATA-SX6000PNP
SSD,WD,Black NVMe PCIe M.2 250GB (2018),193.0,250GB,M.2,https://ssd.userbenchmark.com/SpeedTest/482421/WDS250G2X0C-00L350
SSD,Intel,660p NVMe PCIe M.2 1TB,191.0,1TB,M.2,https://ssd.userbenchmark.com/SpeedTest/602553/INTEL-SSDPEKNW010T8
SSD,Intel,760p Series NVMe PCIe M.2 256GB,190.0,256GB,M.2,https://ssd.userbenchmark.com/SpeedTest/434656/INTEL-SSDPEKKW256G8
SSD,Corsair,Neutron NX500 NVMe PCIe 800GB,190.0,800GB,NVMe PCIe,https://ssd.userbenchmark.com/SpeedTest/369784/Neutron-NX500
SSD,WD,Black SN750 SE NVMe PCIe M.2 250GB,190.0,250GB,M.2,https://ssd.userbenchmark.com/SpeedTest/1655912/WD-BLACK-SN750-SE-250GB
SSD,WD,Blue SN500 NVMe PCIe M.2 500GB,189.0,500GB,M.2,https://ssd.userbenchmark.com/SpeedTest/759521/WDC-WDS500G1B0C-00S6U0
SSD,Nvme,Rocket NVMe PCIe M.2 512GB,187.0,512GB,M.2,https://ssd.userbenchmark.com/SpeedTest/801884/NVMe-Sabrent
SSD,Intel,750 Series NVMe PCIe 400GB,186.0,400GB,NVMe PCIe,https://ssd.userbenchmark.com/SpeedTest/26870/NVMe-INTEL-SSDPEDMW40
SSD,Intel,750 Series NVMe PCIe 400GB,186.0,400GB,NVMe PCIe,https://ssd.userbenchmark.com/SpeedTest/26870/NVMe-INTEL-SSDPEDMW40
SSD,Samsung,SM951 AHCI PCIe M.2 512GB,185.0,512GB,M.2,https://ssd.userbenchmark.com/SpeedTest/24647/SAMSUNG-MZHPV512HDGL-00000
SSD,Zotac,Sonix NVMe PCIe 480GB,184.0,480GB,NVMe PCIe,https://ssd.userbenchmark.com/SpeedTest/131041/NVMe-ZTSSDPG3-480G-GE
SSD,HP,EX900 NVMe PCIe M.2 1TB,184.0,1TB,M.2,https://ssd.userbenchmark.com/SpeedTest/695989/HP-SSD-EX900-1TB
SSD,Samsung,SM951 NVMe PCIe M.2 256GB,183.0,256GB,M.2,https://ssd.userbenchmark.com/SpeedTest/30950/NVMe-SAMSUNG-MZVPV256
SSD,HP,EX900 NVMe PCIe M.2 500GB,183.0,500GB,M.2,https://ssd.userbenchmark.com/SpeedTest/532017/HP-SSD-EX900-500GB
SSD,Intel,Optane+ NVMe PCIe 500GB,181.0,500GB,NVMe PCIe,https://ssd.userbenchmark.com/SpeedTest/268688/Intel-Optane-466GBSSD
SSD,Intel,Optane+ NVMe PCIe 128GB,181.0,128GB,NVMe PCIe,https://ssd.userbenchmark.com/SpeedTest/278104/Intel-Optane-119GBSSD
