Type,Brand,Model,Benchmark,Size,Model_Name,Storage_Size,Year,URL
HDD,WD,Blue 6TB (2015),76.3,6TB,Blue,6TB,2015.0,https://hdd.userbenchmark.com/WD-Blue-6TB-2015/Rating/3910
HDD,Seagate,NAS HDD 3TB,76.3,3TB,NAS HDD,3TB,,https://hdd.userbenchmark.com/SpeedTest/3909/ST3000VN000-1H4167
HDD,WD,Black 500GB (2012),76.0,500GB,Black,500GB,2012.0,https://hdd.userbenchmark.com/SpeedTest/2070/WDC-WD5003AZEX-00K1GA0
HDD,WD,WD5000AZLX-00K4KA0 500GB,76.0,500GB,WD5000AZLX-00K4KA0,500GB,,https://hdd.userbenchmark.com/SpeedTest/5409/WDC-WD5000AZLX-00K4KA0
HDD,Seagate,NAS HDD 2TB,75.9,2TB,NAS HDD,2TB,,https://hdd.userbenchmark.com/SpeedTest/9942/ST2000VN000-1H3164
HDD,Seagate,NAS HDD 4TB,75.6,4TB,NAS HDD,4TB,,https://hdd.userbenchmark.com/Seagate-NAS-HDD-4TB/Rating/2669
HDD,Toshiba,DT01ACA050 500GB,75.1,500GB,DT01ACA050,500GB,,https://hdd.userbenchmark.com/SpeedTest/1379/TOSHIBA-DT01ACA050
HDD,Hitachi,UltraStar 7K4000 2TB,75.1,2TB,UltraStar 7K4000,2TB,,https://hdd.userbenchmark.com/SpeedTest/10357/HGST-HUS724020ALA640
HDD,WD,Green 6TB (2014),75.1,6TB,Green,6TB,2014.0,https://hdd.userbenchmark.com/WD-Green-6TB-2014/Rating/3518
HDD,WD,Red 4TB (2013),74.9,4TB,Red,4TB,2013.0,https://hdd.userbenchmark.com/WD-Red-4TB-2013/Rating/3525
HDD,WD,Se 2TB (2013),74.8,2TB,Se,2TB,2013.0,https://hdd.userbenchmark.com/SpeedTest/11122/WDC-WD2000F9YZ-0
HDD,WD,Black 3TB (2012),74.8,3TB,Black,3TB,2012.0,https://hdd.userbenchmark.com/SpeedTest/8039/WDC-WD3001FAEX-00MJRA0
HDD,Seagate,ST1000VM002-1CT162 1TB,74.7,1TB,ST1000VM002-1CT162,1TB,,https://hdd.userbenchmark.com/SpeedTest/11140/ST1000VM002-1CT162
HDD,Seagate,IronWolf 10TB (2016),74.3,10TB,IronWolf,10TB,2016.0,https://hdd.userbenchmark.com/SpeedTest/161315/ST10000VN0004-1ZD101
HDD,WD,Black 4TB (2012),74.1,4TB,Black,4TB,2012.0,https://hdd.userbenchmark.com/WD-Black-4TB-2012/Rating/1599
HDD,WD,Red Pro 2TB (2014),73.9,2TB,Red Pro,2TB,2014.0,https://hdd.userbenchmark.com/SpeedTest/25063/WDC-WD2001FFSX-68JNU
HDD,WD,Re 2TB (2012),73.7,2TB,Re,2TB,2012.0,https://hdd.userbenchmark.com/SpeedTest/1402/WDC-WD2000FYYZ-5
HDD,Seagate,IronWolf 8TB (2016),73.5,8TB,IronWolf,8TB,2016.0,https://hdd.userbenchmark.com/SpeedTest/210875/ST8000VN0022-2EL112
HDD,Hitachi,UltraStar 7K4000 3TB,73.1,3TB,UltraStar 7K4000,3TB,,https://hdd.userbenchmark.com/SpeedTest/14588/Hitachi-HUS724030ALE640
HDD,HGST,Deskstar NAS 4TB,73.0,4TB,Deskstar NAS,4TB,,https://hdd.userbenchmark.com/HGST-Deskstar-NAS-4TB/Rating/1971
HDD,Seagate,Desktop SSHD 4TB,72.5,4TB,Desktop SSHD,4TB,,https://hdd.userbenchmark.com/Seagate-Desktop-SSHD-4TB/Rating/2668
HDD,Seagate,Desktop SSHD 4TB,72.5,4TB,Desktop SSHD,4TB,,https://hdd.userbenchmark.com/Seagate-Desktop-SSHD-4TB/Rating/2668
HDD,Seagate,Barracuda Pro 6TB (2016),72.4,6TB,Barracuda Pro,6TB,2016.0,https://hdd.userbenchmark.com/Seagate-Barracuda-Pro-6TB-2016/Rating/3900
HDD,Seagate,ST33000650NS 3TB,72.0,3TB,ST33000650NS,3TB,,https://hdd.userbenchmark.com/SpeedTest/9344/ST33000650NS
HDD,WD,Purple Surveillance 2TB (2017),71.9,2TB,Purple Surveillance,2TB,2017.0,https://hdd.userbenchmark.com/SpeedTest/306805/WDC-WD20PURZ-85GU6Y0
HDD,Seagate,ST32000645NS 2TB,71.8,2TB,ST32000645NS,2TB,,https://hdd.userbenchmark.com/SpeedTest/9954/Seagate-ST32000645NS
