Type,Brand,Model,Benchmark,Type_Speed,CAS_Latency,RAM_Sticks,GB_Amount,URL
RAM,Vengeance,Vengeance LED DDR4 3000 C15 2x8GB,82.5,DDR4 3000,C15,4,8GB,https://ram.userbenchmark.com/SpeedTest/156965/Corsair-CMU16GX4M2C3000C15-2x8GB
RAM,Predator,Predator 2666 C13 2x8GB,82.5,,C13,2666,8GB,https://ram.userbenchmark.com/SpeedTest/318273/Kingston-KHX2666C138GX-2x8GB
RAM,Vengeance,Vengeance DDR3 1600 C9 8x8GB,82.1,DDR3 1600,C9,3,8GB,https://ram.userbenchmark.com/SpeedTest/100478/Corsair-Vengeance-CMZ64GX3M8A1600C9-8x8GB
RAM,Fury,Fury 2666 C16 2x8GB,82.1,,C16,2666,8GB,https://ram.userbenchmark.com/SpeedTest/272118/Kingston-KHX2666C168G-2x8GB
RAM,Fury,Fury 2666 C16 2x8GB,82.1,,C16,2666,8GB,https://ram.userbenchmark.com/SpeedTest/272118/Kingston-KHX2666C168G-2x8GB
RAM,Fury,Fury 2666 C16 2x8GB,82.1,,C16,2666,8GB,https://ram.userbenchmark.com/SpeedTest/272118/Kingston-KHX2666C168G-2x8GB
RAM,Vengeance,Vengeance LPX DDR4 3000 C15 2x8GB,81.9,DDR4 3000,C15,4,8GB,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3000-C15-2x8GB/Rating/3546
RAM,Vengeance,Vengeance LPX DDR4 3000 C15 2x8GB,81.9,DDR4 3000,C15,4,8GB,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3000-C15-2x8GB/Rating/3546
RAM,Vengeance,Vengeance LPX DDR4 3000 C15 2x8GB,81.9,DDR4 3000,C15,4,8GB,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3000-C15-2x8GB/Rating/3546
RAM,Vengeance,Vengeance LPX DDR4 3000 C15 2x8GB,81.9,DDR4 3000,C15,4,8GB,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3000-C15-2x8GB/Rating/3546
RAM,Fury,Fury DDR4 2400 C15 4x4GB,81.8,DDR4 2400,C15,4,4GB,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2400-C15-4x4GB/Rating/3585
RAM,Vengeance,Vengeance RGB DDR4 3000 C16 2x8GB,81.5,DDR4 3000,C16,4,8GB,https://ram.userbenchmark.com/SpeedTest/465040/Corsair-CMR16GX4M2D3000C16-2x8GB
RAM,Vengeance,Vengeance LPX DDR4 3000 C15 2x4GB,81.1,DDR4 3000,C15,4,4GB,https://ram.userbenchmark.com/SpeedTest/90523/Corsair-Vengeance-LPX-CMK8GX4M2B3000C15-2x4GB
